,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
76,0.255181125,0.7167943125,0.92,0.01,50,0.2,3.9999999999999982,-3.0254565708024956,0.2102376259710082,0.9987544104602253,-6.214608098422191,-3.0434262420147284,0.21675634706045574,0.9976383488744471
77,0.35124690625,0.6183105625,0.92,0.01,50,0.3,3.9999999999999982,-2.4652776993038126,0.18465765782529128,0.9988412177995415,-5.809142990314028,-2.588167589963696,0.2800509796823152,0.9976684496490816
78,0.3694896875,0.60284475,0.92,0.01,100,0.16,7.9999999999999964,-4.560539174529999,0.7112784283080452,0.9982545858474562,-6.437751649736401,-4.4870450986063455,0.6585526115716823,0.9927302959003469
79,0.42965303125,0.54166575,0.92,0.01,100,0.2,7.9999999999999964,-4.046645850139353,0.6693822028327058,0.9987827023556957,-6.214608098422191,-4.012078877990642,0.6479188818547803,0.996673970160327
80,0.53701775,0.431724125,0.92,0.01,100,0.3,7.9999999999999964,-3.273344169618981,0.5792044373953028,0.99877430053767,-5.809142990314028,-3.145515200597272,0.4944831650159581,0.9978897945022976
81,0.419396625,0.552807625,0.92,0.01,120,0.16,9.599999999999994,-4.91535903453234,0.8141001715606316,0.997508668413162,-6.437751649736401,-4.768301034880558,0.72923148373869,0.9964293685086414
82,0.47904134375,0.49214359375,0.92,0.01,120,0.2,9.599999999999994,-4.311849865648357,0.7455195657895287,0.9977140681518871,-6.214608098422191,-4.319459351693533,0.7396660854931829,0.9951283762999421
83,0.5817090625,0.3869005625,0.92,0.01,120,0.3,9.599999999999994,-3.5059651917861583,0.6489581625240007,0.9987338087705169,-5.809142990314028,-3.3694620086637093,0.5615424502748934,0.997892067931144
84,0.528403375,0.4435708125,0.92,0.01,180,0.16,14.399999999999993,-5.699727889955732,0.9755395010954019,0.9978817146891895,-6.437751649736401,-5.494097963754977,0.8642803640950907,0.9869357974992972
85,0.5864134375,0.3845375625,0.92,0.01,180,0.2,14.399999999999993,-4.979113224327142,0.8874577530950554,0.9978226033832175,-6.214608098422191,-4.908046941575467,0.840284666244261,0.9923167495344415
86,0.6790374375,0.28935859375,0.92,0.01,180,0.3,14.399999999999993,-3.958868302148629,0.7359358867895364,0.9974255047583207,-5.809142990314028,-3.703557696786273,0.5661690885551021,0.9968600691896674
87,0.5557641875,0.41616184375,0.92,0.01,200,0.16,15.999999999999993,-5.995329777413981,1.042454907066305,0.9970055448400635,-6.437751649736401,-5.7370327666312235,0.907929964614733,0.9890317470299597
88,0.6106154375,0.360293,0.92,0.01,200,0.2,15.999999999999993,-5.22436932025831,0.943073816821232,0.9972645158877604,-6.214608098422191,-4.953253891735175,0.794650219460958,0.9938030691056943
89,0.7002886875,0.268065625,0.92,0.01,200,0.3,15.999999999999993,-4.072899485891218,0.7474499744978794,0.997864937378702,-5.809142990314028,-3.7707890729849645,0.5479419405391265,0.9963689833622726
90,0.201794078125,0.74696725,0.92,0.1,50,0.16,3.9999999999999982,-3.4109225309493936,0.18382418204550455,0.9988728547006247,-4.135166556742356,-3.308510835823294,0.11873417056883058,0.9928241378336545
91,0.243034640625,0.697036,0.92,0.1,50,0.2,3.9999999999999982,-3.047255586507061,0.18832049247794874,0.9987060331367767,-3.912023005428146,-3.024318220617286,0.17234368260732852,0.9957646846286391
