r cm,A_Rd,B_Rd
0.925,0.014943084184111216,0.014936753034458997
0.93,0.01570340828022539,0.014153303712868553
0.935,0.014853614808443395,0.013455428271731153
0.9400000000000001,0.01485470184446633,0.014041334655249474
0.9450000000000001,0.014652840461153206,0.013459111748064965
0.9500000000000001,0.014059604502475703,0.01289019644098865
0.9550000000000001,0.013514670934927945,0.011990678514736449
0.96,0.013019610291196604,0.012817047436030958
0.965,0.012648301420951604,0.012013664418574647
0.97,0.013470702960587584,0.012551879989543243
0.975,0.013180048537728997,0.01260718908552127
0.98,0.01184478467704878,0.011314324556377955
0.985,0.012762618675147533,0.011184377734296633
0.99,0.012456440175544559,0.01087953375263242
0.995,0.011518265220172057,0.011161022992478264
