r cm,A_Rd,B_Rd
0.9500000000000001,0.015150800464162954,0.01291871953405425
0.9550000000000001,0.014540900378256569,0.013196973414139486
0.96,0.013045308865136013,0.011040822116365402
0.965,0.013658608475836229,0.013153556356014461
0.97,0.013309744451126803,0.012775888406386883
0.975,0.011659974616114495,0.01270602292822141
0.98,0.012208448928761956,0.010654297342214543
0.985,0.012517725341498958,0.011350324148704207
0.99,0.011159400090544377,0.009844975532031928
0.995,0.011015259702863529,0.011748556785465205
